TeamName,StoryPts,Deployed,Priority,LeadTime
YELLOWSTON,1,TRUE,4,48.07575941
ODYSSEY,2,TRUE,1,47.9186235
ODYSSEY,3,TRUE,1,47.91706983
ODYSSEY,2,TRUE,1,47.91627608
ODYSSEY,2,TRUE,1,47.91529653
ACADIA,1,TRUE,3,47.90971917
ODYSSEY,2,TRUE,1,47.82801204
ENT,2,TRUE,3,47.82513889
ENT,2,TRUE,3,47.82444105
ENT,2,TRUE,3,47.82333102
MATRIX,2,TRUE,3,47.80721536
YELLOWSTON,3,TRUE,3,47.29814753
DENALI,3,TRUE,3,47.18078631
KMJ,0,TRUE,3,47.05566797
KMJ,5,TRUE,3,47.05144742
VOYAGEURS,5,FALSE,2,47.04995501
KMJ,0,TRUE,3,47.03698766
ODYSSEY,3,TRUE,1,46.98256741
PLANETX,3,TRUE,3,46.94619363
PLANETX,2,TRUE,3,46.94306593
PLANETX,3,TRUE,3,46.94197894
VOYAGEURS,,TRUE,3,46.93434764
ACADIA,2,TRUE,3,46.90544244
ACADIA,3,TRUE,3,46.90419301
VOYAGEURS,2,TRUE,1,46.84884532
MATRIX,5,TRUE,3,46.81963939
ACADIA,5,TRUE,3,46.24109965
CONFIG,,TRUE,3,46.20734729
PNL,3,FALSE,3,46.14071953
VOYAGEURS,,FALSE,3,46.13730019
BADLANDS,,FALSE,3,46.01780848
KMJ,2,TRUE,3,46.0122365
ASSESS,1,FALSE,3,45.99451242
YELLOWSTON,5,TRUE,3,45.94791057
ASSESS,3,TRUE,3,45.85343811
DENALI,2,TRUE,3,45.82540556
PNL,5,FALSE,3,45.80466644
FJORD,3,TRUE,3,45.65621292
FJORD,3,FALSE,3,45.41810088
CONFIG,3,TRUE,2,45.23103542
ASSESS,5,FALSE,3,45.12965174
YELLOWSTON,3,TRUE,3,45.12734838
PLANETX,,TRUE,3,44.97064213
YELLOWSTON,3,TRUE,2,44.85955293
VOYAGEURS,1,TRUE,1,44.80485471
SAHARA,1,FALSE,3,44.7125625
FJORD,3,TRUE,3,44.45991976
KMJ,0,TRUE,3,44.34185306
ASSESS,5,FALSE,3,44.14443284
YELLOWSTON,3,TRUE,3,44.0968353
MATRIX,3,TRUE,3,43.8139961
ODYSSEY,3,TRUE,1,43.77818249
CONFIG,2,TRUE,3,43.318348
CONFIG,2,TRUE,3,43.31662052
VOYAGEURS,3,TRUE,3,43.27509437
VOYAGEURS,,TRUE,3,43.2049605
VOYAGEURS,1,TRUE,3,43.14438411
FJORD,5,TRUE,3,43.00019459
ORYON,0,FALSE,1,42.96410086
DENALI,5,TRUE,3,42.82496362
PLANETX,2,TRUE,3,42.75483148
PLANETX,2,TRUE,3,42.75393303
PLANETX,1,TRUE,3,42.7391086
YELLOWSTON,3,TRUE,2,42.1692877
ACADIA,5,TRUE,3,42.02174113
YELLOWSTON,8,TRUE,1,42.02079213
ASSESS,2,TRUE,3,41.96077998
DENALI,2,TRUE,2,41.79643153
ASSESS,8,FALSE,3,41.78218777
ACADIA,3,TRUE,3,41.76694977
PLANETX,3,FALSE,3,41.62638781
PNL,3,FALSE,4,41.2045066
ASSESS,3,FALSE,4,41.17334112
VOYAGEURS,1,TRUE,3,41.10660409
MATRIX,8,TRUE,3,41.09096852
KMJ,5,TRUE,3,41.05512565
ASSESS,8,TRUE,1,41.02321374
KMJ,3,FALSE,3,41.02255402
ODYSSEY,2,TRUE,1,40.99498565
ODYSSEY,3,TRUE,2,40.97296192
ODYSSEY,2,TRUE,1,40.94392493
ASSESS,3,FALSE,3,40.94108461
ODYSSEY,2,TRUE,1,40.90261829
ASSESS,1,TRUE,3,40.89262264
ENT,5,TRUE,3,40.77005764
ENT,3,TRUE,3,40.76138966
VOYAGEURS,0,FALSE,3,40.74565898
YELLOWSTON,2,TRUE,3,40.21119352
ORYON,3,FALSE,1,40.15056146
YELLOWSTON,5,TRUE,3,40.14396227
YELLOWSTON,3,TRUE,1,40.07438884
YELLOWSTON,3,TRUE,3,40.07432319
ASSESS,5,TRUE,1,40.06960914
VOYAGEURS,1,TRUE,3,39.96430733
ASSESS,3,TRUE,1,39.95861045
ORYON,5,FALSE,3,39.86836486
ORYON,3,FALSE,3,39.8668794
ORYON,5,FALSE,1,39.85997087
ASSESS,3,FALSE,3,39.84380181
ODYSSEY,1,TRUE,3,39.83661458
ASSESS,5,TRUE,3,39.77130815
FJORD,2,TRUE,3,39.62892149
FJORD,2,TRUE,3,39.62233125
FJORD,5,TRUE,3,39.60367358
CONFIG,8,TRUE,3,39.19034873
BASECAMP,3,TRUE,3,39.16738862
ASSESS,5,FALSE,1,39.02984097
ASSESS,5,FALSE,3,39.00752211
ASSESS,2,FALSE,3,39.00658083
ASSESS,2,FALSE,3,39.00122917
ASSESS,5,TRUE,1,38.99047373
MATRIX,0,TRUE,3,38.99037569
MATRIX,0,TRUE,3,38.98968271
ASSESS,3,FALSE,3,38.98084684
ODYSSEY,3,TRUE,3,38.89818916
YELLOWSTON,3,TRUE,2,38.79909826
DENALI,3,TRUE,3,38.79589464
PLANETX,,FALSE,3,38.43910865
MATRIX,2,TRUE,3,38.25862183
MATRIX,2,TRUE,3,38.2512875
ASSESS,3,TRUE,1,38.07971501
ASSESS,,TRUE,3,37.96581083
ENT,3,TRUE,3,37.95554519
DENALI,13,TRUE,2,37.93763431
ASSESS,1,TRUE,3,37.92767998
KMJ,2,TRUE,3,37.89519433
ODYSSEY,2,TRUE,3,37.80757963
KMJ,2,TRUE,3,37.72695718
ASSESS,,FALSE,3,37.05919892
FJORD,3,TRUE,3,36.98034248
ASSESS,8,FALSE,3,36.92064696
ASSESS,5,FALSE,3,36.91950853
ASSESS,2,FALSE,1,36.90482951
FJORD,5,TRUE,3,36.71226852
FJORD,3,TRUE,3,36.68296716
YELLOWSTON,3,TRUE,1,36.16650374
ASSESS,8,TRUE,1,36.00400282
YELLOWSTON,3,TRUE,2,35.95599221
ASSESS,5,TRUE,3,35.8955767
ASSESS,1,TRUE,3,35.7501412
ENT,2,TRUE,3,35.72825505
ENT,3,TRUE,3,35.72754421
ORYON,1,FALSE,3,35.16379734
YELLOWSTON,3,TRUE,1,35.06362612
DENALI,3,TRUE,3,35.04086528
CONFIG,8,TRUE,3,35.03418593
VOYAGEURS,2,FALSE,3,35.02465595
KMJ,2,TRUE,3,35.00883958
PLANETX,3,TRUE,3,34.98757318
DENALI,7,TRUE,3,34.96474468
ASSESS,8,TRUE,1,34.95190178
KMJ,5,TRUE,1,34.94630726
VOYAGEURS,1,TRUE,3,34.91626169
ASSESS,5,TRUE,3,34.90940282
VOYAGEURS,1,TRUE,3,34.90404537
VOYAGEURS,1,TRUE,2,34.87647508
BR,2,TRUE,3,34.86033295
DENALI,5,TRUE,3,34.81437334
YELLOWSTON,3,FALSE,3,34.708398
SAHARA,1,TRUE,3,34.28922735
VOYAGEURS,3,TRUE,3,34.20851562
DENALI,5,TRUE,3,34.15745544
DENALI,5,TRUE,3,34.15721493
MATRIX,2,TRUE,3,34.1261152
ODYSSEY,3,TRUE,3,34.10914395
ASSESS,0,TRUE,1,34.03718082
CONFIG,,TRUE,3,33.98395281
FJORD,5,TRUE,3,33.92586799
ENT,2,TRUE,3,33.92567346
ENT,3,TRUE,3,33.9219292
ASSESS,,FALSE,3,33.82696273
VOYAGEURS,5,TRUE,2,33.79012411
ENT,5,TRUE,3,33.75904182
ODYSSEY,3,TRUE,3,33.75111443
DENALI,13,TRUE,2,33.54373696
PLANETX,3,TRUE,3,33.48751338
FJORD,3,TRUE,3,33.23953414
ACADIA,8,FALSE,1,33.22427639
ASSESS,3,FALSE,3,33.13212701
ASSESS,1,TRUE,3,33.08726806
ASSESS,5,FALSE,3,33.05977138
YELLOWSTON,3,TRUE,2,33.03752292
PNL,2,FALSE,3,32.97940729
MATRIX,2,TRUE,3,32.911325
MATRIX,2,TRUE,3,32.90180544
DENALI,3,TRUE,3,32.88948252
ODYSSEY,2,TRUE,1,32.85390073
PLANETX,1,TRUE,3,32.74348896
BASECAMP,5,TRUE,3,32.72963634
PNL,1,FALSE,3,32.18522454
VOYAGEURS,8,FALSE,2,32.08270331
DENALI,5,TRUE,3,32.04790012
ASSESS,3,TRUE,3,31.99753638
PNL,2,FALSE,3,31.94987674
MATRIX,4,TRUE,3,31.92833051
ACADIA,2,TRUE,3,31.92633145
ASSESS,1,TRUE,3,31.88829031
ASSESS,2,TRUE,3,31.8796939
PNL,5,FALSE,3,31.84310493
ASSESS,5,FALSE,3,31.8420735
YELLOWSTON,3,TRUE,2,31.83979985
CONFIG,8,TRUE,3,31.82235197
CONFIG,3,TRUE,3,31.80824649
CONFIG,5,TRUE,3,31.80482863
ASSESS,5,TRUE,3,31.79593611
SAHARA,5,FALSE,3,31.20504383
ASSESS,5,FALSE,3,31.177048
ACADIA,2,TRUE,2,31.16895771
YELLOWSTON,8,TRUE,1,31.11866389
BADLANDS,3,TRUE,3,31.06698708
BADLANDS,3,TRUE,3,31.05462204
CONFIG,3,TRUE,3,31.05335524
BADLANDS,3,TRUE,3,31.04780293
ODYSSEY,8,TRUE,1,31.03561878
ASSESS,3,TRUE,4,31.0113642
ASSESS,1,TRUE,2,30.99963534
ODYSSEY,2,TRUE,3,30.99107353
BASECAMP,2,TRUE,3,30.97223877
PNL,1,FALSE,3,30.87426103
ASSESS,5,TRUE,3,30.77485104
VOYAGEURS,2,TRUE,3,30.36864498
PLANETX,,TRUE,3,30.27975779
CONFIG,5,TRUE,2,30.22792662
CONFIG,5,TRUE,2,30.21410784
ODYSSEY,2,TRUE,3,30.10275734
ASSESS,1,FALSE,3,30.09629588
ASSESS,3,FALSE,3,30.01960181
MATRIX,8,TRUE,2,29.97403796
KMJ,0,TRUE,3,29.87897017
ACADIA,1,TRUE,3,29.87782808
ACADIA,2,TRUE,3,29.79653819
ACADIA,2,FALSE,3,29.69386458
SAHARA,3,FALSE,3,29.66650884
VOYAGEURS,3,TRUE,3,29.18738102
YELLOWSTON,3,TRUE,2,29.17140587
ASSESS,2,TRUE,3,29.13751106
SAHARA,2,TRUE,3,29.12018619
KMJ,,TRUE,3,29.05909348
PLANETX,,TRUE,3,29.01024507
VOYAGEURS,0,TRUE,3,28.94065174
ACADIA,1,TRUE,1,28.92571505
ACADIA,5,TRUE,3,28.9059311
YELLOWSTON,3,TRUE,2,28.88950417
KMJ,2,TRUE,3,28.84191794
ASSESS,0,TRUE,3,28.83553642
ASSESS,0,TRUE,3,28.83543681
DENALI,2,TRUE,2,28.81837125
ASSESS,8,FALSE,3,28.76963009
ACADIA,2,TRUE,1,28.73540617
PNL,3,FALSE,2,28.64750926
DENALI,3,TRUE,3,28.25537725
DENALI,1,TRUE,3,28.18418017
PNL,2,FALSE,4,28.17106594
ASSESS,5,FALSE,3,28.13840069
ORYON,3,FALSE,1,28.10778788
ORYON,2,FALSE,3,28.08658538
ORYON,3,FALSE,3,28.0845556
ASSESS,5,FALSE,1,28.07176303
ACADIA,2,TRUE,3,28.04098484
DENALI,2,TRUE,3,28.01638395
ASSESS,,FALSE,3,28.00102801
VOYAGEURS,5,TRUE,3,27.98561253
VOYAGEURS,1,FALSE,1,27.9529174
VOYAGEURS,0,TRUE,3,27.94572874
ACADIA,2,FALSE,3,27.94480312
ORYON,3,FALSE,1,27.91772091
ASSESS,0,TRUE,3,27.84453738
KMJ,,TRUE,3,27.84326396
KMJ,3,TRUE,3,27.811239
YELLOWSTON,3,TRUE,3,27.7951515
YELLOWSTON,5,TRUE,3,27.77169648
DENALI,3,TRUE,1,27.76719456
ENT,,TRUE,3,27.72698892
VOYAGEURS,5,TRUE,3,27.65972971
FJORD,5,TRUE,3,27.61270694
YELLOWSTON,5,FALSE,3,27.2199865
DENALI,8,FALSE,3,27.21916362
PNL,2,FALSE,3,27.18281265
ODYSSEY,3,TRUE,1,27.1567441
PNL,3,FALSE,3,27.12459089
ENT,3,FALSE,3,27.08565613
KMJ,0,TRUE,3,27.050963
KMJ,0,TRUE,3,27.04986084
ENT,3,TRUE,3,27.03590266
ASSESS,5,TRUE,2,27.00585405
ACADIA,3,TRUE,2,26.99415197
CONFIG,5,TRUE,3,26.98962551
CONFIG,5,TRUE,3,26.98935493
ORYON,5,FALSE,1,26.98230451
CONFIG,3,TRUE,3,26.97262669
ENT,2,TRUE,3,26.95857859
YELLOWSTON,2,TRUE,3,26.951136
ASSESS,8,TRUE,3,26.95016686
ASSESS,1,TRUE,3,26.93039927
ENT,2,TRUE,1,26.87142241
MATRIX,5,FALSE,3,26.84729661
ACADIA,8,TRUE,3,26.83563704
VOYAGEURS,1,TRUE,3,26.82829438
BR,5,TRUE,3,26.78919838
ENT,3,TRUE,3,26.73510169
BADLANDS,8,TRUE,1,26.73337358
FJORD,1,TRUE,3,26.63234486
ACADIA,13,TRUE,3,26.27017612
PLANETX,,TRUE,3,26.16861685
YELLOWSTON,3,TRUE,2,26.06150093
ASSESS,8,TRUE,1,26.03007017
KMJ,3,TRUE,3,25.96038649
YELLOWSTON,3,TRUE,3,25.95363461
ODYSSEY,3,TRUE,1,25.91478368
ASSESS,0,TRUE,1,25.90404506
